project_name,listing_title,price,location_zone,bts_mrt,size_sqm,bedrooms,bathrooms,listing_url,post_type,property_type,page_number
Chapter One Eco Ratchada - Huai Khwang ,"♥️♥️ Chapter One Eco Ratchada-Huai Khwang condo for rent only 13,000 baht 🥰🥰","13,000 THB/month","Bangkok, Huai Khwang Bangkok",,30.0,1.0,1.0,https://propertyhub.in.th/en/listings/️️-chapter-one-eco-ratchada-huai-khwang-condo-for-rent-only-13-000-baht,FOR_RENT,CONDO,1
IDEO Mobi Wongsawang Interchange,"💫  Condo for rent Ideo Mobi Wongsawang 🏙️ Quality condo, MRT Bang Son bulah metre 0 🚇 Khualzin zawng zawng tan a remchang 🌟","9,500 THB/month","Bangkok, Bang Sue Bangkok",MRT Bang Son bulah metre 0 🚇 Khualzin zawng zawng tan a remchan,23.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-ideo-mobi-wongsawang-️-quality-condo-mrt-bang-son-bulah-metre-0-khualzin-zawng-zawng-tan-a-remchang,FOR_RENT,CONDO,1
Life Ladprao Valley,1 Bed 1 Bath 35 SQ.M Life Ladprao Valley,"23,000 THB/month","Bangkok, Chatuchak Bangkok",,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-bed-1-bath-35-sq-m-life-ladprao-valley--b43d090b,FOR_RENT,CONDO,1
Baan Chao Praya,2 Bed 2 bath Condo 127 sqm. at Baan Chao Praya for rent,"32,000 THB/month","Bangkok, Khlong San Bangkok",,127.4,2.0,2.0,https://propertyhub.in.th/en/listings/2-bed-2-bath-condo-127-sqm-at-baan-chao-praya-for-rent--b30409de,FOR_RENT,CONDO,1
The Tempo Grand Sathorn - Wutthakat,Tempo grand wutthakat high floor  fully furnished and electric appliances,"12,000 THB/month","Bangkok, Chom Thong Bangkok",,30.0,1.0,1.0,https://propertyhub.in.th/en/listings/tempo-grand-wutthakat-high-floor-fully-furnished-and-electric-appliances,FOR_RENT,CONDO,1
Socio Ruamrudee,1 Bed 1 Bath 32 SQ.M at SOCIO Ruamrudee,"18,000 THB/month","Bangkok, Pathum Wan Bangkok",,32.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-bed-1-bath-32-sq-m-at-socio-ruamrudee--b58709d9,FOR_RENT,CONDO,1
IDEO New Rama 9 ,For Rent Ideo New Rama 9  - 1 bed 37 sq.m.  22nd floor,"16,500 THB/month","Bangkok, Bang Kapi Bangkok",,37.0,1.0,1.0,https://propertyhub.in.th/en/listings/for-rent-ideo-new-rama-9-1-bed-37-sq-m-22nd-floor--c3fb0a00,FOR_RENT,CONDO,1
Chapter Charoennakhon - Riverside,1 Bed 32 SQ.M Chapter Charoennakorn-Riverside,"22,000 THB/month","Bangkok, Khlong San Bangkok",,32.0,1.0,1.0,https://propertyhub.in.th/en/listings/1-bed-32-sq-m-chapter-charoennakorn-riverside--b93d0a04,FOR_RENT,CONDO,1
IDEO Ratchada - Huaykwang,"Condo for rent near Huai Khwang MRT | IDEO Ratchada-Huai Khwang | Fully furnished, ready to move in, has bathtub, near The Street Ratchada","18,000 THB/month","Bangkok, Huai Khwang Bangkok",,35.0,1.0,1.0,https://propertyhub.in.th/en/listings/condo-for-rent-near-huai-khwang-mrt-ideo-ratchada-huai-khwang-fully-furnished-ready-to-move-in-has-bathtub-near-the-street-ratchada,FOR_RENT,CONDO,1
IDEO Chula - Samyan,"🌟IDEO CHULA-SAMYAN 🌟  ✅For Rent Only 28,000 THB/Month  (Minimum 1-Year Contract)  Ready to Move In : 05/06/26","28,000 THB/month","Bangkok, Bang Rak Bangkok",,34.5,1.0,1.0,https://propertyhub.in.th/en/listings/ideo-chula-samyan-for-rent-only-28-000-thb-month-minimum-1-year-contract-ready-to-move-in-05-06-26,FOR_RENT,CONDO,1
